SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
0,B42,DC1_ELK_CH3_P,1,J19,00 - 2,True,,,False
0,C35,DC1_ELK_CH4_N,1,H23,00 - 2,True,,,False
0,C36,DC1_ELK_CH4_P,1,G23,00 - 2,True,,,False
0,C39,DC1_ELK_CH5_N,1,G21,00 - 2,True,,,False
0,C40,DC1_ELK_CH5_P,1,H21,00 - 2,True,,,False
0,D37,DC1_ELK_CH6_N,1,I20,00 - 2,True,,,False
0,D38,DC1_ELK_CH6_P,1,J20,00 - 2,True,,,False
0,D41,DC1_ELK_CH7_N,1,H18,00 - 2,True,,,False
0,D42,DC1_ELK_CH7_P,1,H19,00 - 2,True,,,False
0,E35,DC1_ELK_CH8_N,1,G18,00 - 2,True,,,False
0,E36,DC1_ELK_CH8_P,1,G19,00 - 2,True,,,False
0,E39,DC1_ELK_CH9_N,1,G22,00 - 2,True,,,False
0,E40,DC1_ELK_CH9_P,1,H22,00 - 2,True,,,False
0,A27,DC2_ELK_CH0_N,,,,False,,,False
0,A28,DC2_ELK_CH0_P,,,,False,,,False
0,A31,DC2_ELK_CH1_N,,,,False,,,False
0,A32,DC2_ELK_CH1_P,,,,False,,,False
0,F29,DC2_ELK_CH10_N,1,I29,00 - 3,True,,,False
0,F30,DC2_ELK_CH10_P,1,J29,00 - 3,True,,,False
0,F33,DC2_ELK_CH11_N,1,I28,00 - 3,True,,,False
0,F34,DC2_ELK_CH11_P,1,J28,00 - 3,True,,,False
0,B29,DC2_ELK_CH2_N,1,G32,00 - 3,True,,,False
0,B30,DC2_ELK_CH2_P,1,H32,00 - 3,True,,,False
0,B33,DC2_ELK_CH3_N,1,G31,00 - 3,True,,,False
0,B34,DC2_ELK_CH3_P,1,H31,00 - 3,True,,,False
0,C27,DC2_ELK_CH4_N,1,G30,00 - 3,True,,,False
0,C28,DC2_ELK_CH4_P,1,H30,00 - 3,True,,,False
0,C31,DC2_ELK_CH5_N,1,G29,00 - 3,True,,,False
0,C32,DC2_ELK_CH5_P,1,H29,00 - 3,True,,,False
0,D29,DC2_ELK_CH6_N,1,G28,00 - 3,True,,,False
0,D30,DC2_ELK_CH6_P,1,H28,00 - 3,True,,,False
0,D33,DC2_ELK_CH7_N,1,I32,00 - 3,True,,,False
0,D34,DC2_ELK_CH7_P,1,J32,00 - 3,True,,,False
0,E27,DC2_ELK_CH8_N,1,I31,00 - 3,True,,,False
0,E28,DC2_ELK_CH8_P,1,J31,00 - 3,True,,,False
